date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:10:11	19922/19922	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202024%2015:19:56%20GMT	https://aspromodanet.com/farm/	D:/quizignite/aspromodanet.com/farm/index.html	(from )
01:10:11	5273/5273	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Jul%202024%2004:10:10%20GMT	https://aspromodanet.com/robots.txt		(from )
01:10:11	229083/229083	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2020%20Jul%202024%2004:10:11%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/quizignite/connect.facebook.net/en_US/fbevents.js	(from https://aspromodanet.com/farm/)
01:10:11	9124/9124	---MCZ	200	added ('OK')	application/javascript	etag:W/%2223a4-190cbbdcce0%22	https://cdn.utmify.com.br/scripts/utms/latest.js	D:/quizignite/cdn.utmify.com.br/scripts/utms/latest.js	(from https://aspromodanet.com/farm/)
01:10:11	30245/30245	---MCZ	200	added ('OK')	application/javascript	etag:W/%227625-190cbbdcce0%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	D:/quizignite/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://aspromodanet.com/farm/)
01:10:11	232832/232832	---M-Z	200	added ('OK')	text/css	etag:W/%22669a841c-38d80%22	https://aspromodanet.com/farm/css/bootstrap.min.css	D:/quizignite/aspromodanet.com/farm/css/bootstrap.min.css	(from https://aspromodanet.com/farm/)
01:10:12	8297/8297	---M-Z	200	added ('OK')	text/css	etag:W/%22669a841c-2069%22	https://aspromodanet.com/farm/css/style.css	D:/quizignite/aspromodanet.com/farm/css/style.css	(from https://aspromodanet.com/farm/)
01:10:12	102581/102581	---M-Z	200	added ('OK')	text/css	etag:W/%22669a841c-190b5%22	https://aspromodanet.com/farm/css/all.min.css	D:/quizignite/aspromodanet.com/farm/css/all.min.css	(from https://aspromodanet.com/farm/)
01:10:12	224567/224567	---M-Z	200	added ('OK')	application/javascript	etag:W/%22669a841c-36d37%22	https://aspromodanet.com/farm/js/fbevents.js	D:/quizignite/aspromodanet.com/farm/js/fbevents.js	(from https://aspromodanet.com/farm/)
01:10:12	87995/87995	---M-Z	200	added ('OK')	application/javascript	etag:W/%22669a841c-157bb%22	https://aspromodanet.com/farm/js/jquery-3.7.1.min.js	D:/quizignite/aspromodanet.com/farm/js/jquery-3.7.1.min.js	(from https://aspromodanet.com/farm/)
01:10:13	1150/1150	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22669a841c-47e%22	https://aspromodanet.com/farm/favicon.ico	D:/quizignite/aspromodanet.com/farm/favicon.ico	(from https://aspromodanet.com/farm/)
01:10:13	80721/80721	---M-Z	200	added ('OK')	application/javascript	etag:W/%22669a841c-13b51%22	https://aspromodanet.com/farm/js/bootstrap.bundle.min.js	D:/quizignite/aspromodanet.com/farm/js/bootstrap.bundle.min.js	(from https://aspromodanet.com/farm/)
01:10:13	4522/4522	---M-Z	200	added ('OK')	application/javascript	etag:W/%22669a841c-11aa%22	https://aspromodanet.com/farm/js/latest.js	D:/quizignite/aspromodanet.com/farm/js/latest.js	(from https://aspromodanet.com/farm/)
01:10:13	5403/5403	---M-Z	200	added ('OK')	application/javascript	etag:W/%22669a841c-151b%22	https://aspromodanet.com/farm/js/latest_1_1.js	D:/quizignite/aspromodanet.com/farm/js/latest_1_1.js	(from https://aspromodanet.com/farm/)
01:10:13	18713/18713	---M--	200	added ('OK')	image/png	etag:%22669a841c-4919%22	https://aspromodanet.com/farm/images/logo-farm-rio-vertical-1024.png	D:/quizignite/aspromodanet.com/farm/images/logo-farm-rio-vertical-1024.png	(from https://aspromodanet.com/farm/)
01:10:14	250080/250080	---M--	200	added ('OK')	image/jpeg	etag:%22669a841c-3d0e0%22	https://aspromodanet.com/farm/images/Rosenbaum-Arquitetura-FarmRio-LeBon-Marche-Paris-FlaviaRibeiro-8-min.jpg	D:/quizignite/aspromodanet.com/farm/images/Rosenbaum-Arquitetura-FarmRio-LeBon-Marche-Paris-FlaviaRibeiro-8-min.jpg	(from https://aspromodanet.com/farm/)
01:10:14	1442704/1442704	---M--	200	added ('OK')	image/png	etag:%22669a841c-160390%22	https://aspromodanet.com/farm/images/farmrio-image1.png	D:/quizignite/aspromodanet.com/farm/images/farmrio-image1.png	(from https://aspromodanet.com/farm/)
01:10:14	973815/973815	---M--	200	added ('OK')	image/png	etag:%22669a841c-edbf7%22	https://aspromodanet.com/farm/images/farmrio-image2.png	D:/quizignite/aspromodanet.com/farm/images/farmrio-image2.png	(from https://aspromodanet.com/farm/)
01:10:15	919715/919715	---M--	200	added ('OK')	image/png	etag:%22669a841c-e08a3%22	https://aspromodanet.com/farm/images/farmrio-image3.png	D:/quizignite/aspromodanet.com/farm/images/farmrio-image3.png	(from https://aspromodanet.com/farm/)
01:10:15	1290072/1290072	---M--	200	added ('OK')	image/png	etag:%22669a841c-13af58%22	https://aspromodanet.com/farm/images/farmrio-image4.png	D:/quizignite/aspromodanet.com/farm/images/farmrio-image4.png	(from https://aspromodanet.com/farm/)
01:10:15	143671/143671	---M--	200	added ('OK')	image/png	etag:%22669a841c-23137%22	https://aspromodanet.com/farm/images/presente.png	D:/quizignite/aspromodanet.com/farm/images/presente.png	(from https://aspromodanet.com/farm/)
01:10:15	597/597	---M-Z	200	added ('OK')	application/javascript	etag:W/%22669a841c-255%22	https://aspromodanet.com/farm/js/hideAllExcept.js	D:/quizignite/aspromodanet.com/farm/js/hideAllExcept.js	(from https://aspromodanet.com/farm/)
